graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,X,Y,Z
0,95,0,True,False,False,1.0,0.0,0.0,0.0,1.0,11.0,3.0
0,96,0,True,False,False,1.0,0.0,0.0,0.0,7.0,13.0,1.0
0,97,0,True,False,False,0.0,1.0,0.0,0.0,4.0,12.6,8.875
0,98,0,True,False,False,1.0,0.0,0.0,0.0,17.0,11.0,1.0
0,99,0,True,False,False,1.0,0.0,0.0,0.0,11.0,7.0,1.0
0,100,0,True,False,False,1.0,0.0,0.0,0.0,19.0,7.0,1.0
0,101,0,True,False,False,1.0,0.0,0.0,0.0,7.0,5.0,3.0
0,102,0,True,False,False,1.0,0.0,0.0,0.0,13.0,15.0,3.0
0,103,0,True,False,False,1.0,0.0,0.0,0.0,13.0,1.0,3.0
0,104,0,True,False,False,1.0,0.0,0.0,0.0,7.0,15.0,1.0
0,105,0,True,False,False,1.0,0.0,0.0,0.0,13.0,7.0,1.0
0,106,0,True,False,False,1.0,0.0,0.0,0.0,3.0,1.0,3.0
0,107,0,True,False,False,0.0,1.0,0.0,0.0,4.842105,8.2,8.875
0,108,0,True,False,False,1.0,0.0,0.0,0.0,1.0,9.0,3.0
0,109,0,True,False,False,1.0,0.0,0.0,0.0,5.0,11.0,1.0
0,110,0,True,False,False,1.0,0.0,0.0,0.0,19.0,15.0,3.0
0,111,0,True,False,False,1.0,0.0,0.0,0.0,15.0,13.0,1.0
0,112,0,True,False,False,1.0,0.0,0.0,0.0,13.0,9.0,1.0
0,113,0,True,False,False,1.0,0.0,0.0,0.0,1.0,5.0,3.0
0,114,0,True,False,False,0.0,1.0,0.0,0.0,4.842106,8.2,12.125
0,115,0,True,False,False,1.0,0.0,0.0,0.0,15.0,15.0,1.0
0,116,0,True,False,False,0.0,1.0,0.0,0.0,7.5,4.8,8.875
0,117,0,True,False,False,1.0,0.0,0.0,0.0,13.0,11.0,3.0
0,118,0,True,False,False,1.0,0.0,0.0,0.0,13.0,9.0,3.0
